Timestamp,City,Country,Temperature_C,FeelsLike_C,MinTemp_C,MaxTemp_C,Humidity_percent,Pressure_hPa,WeatherDescription,WindSpeed_mps,Cloudiness_percent
2025-06-25 21:46:29,Ho Chi Minh City,VN,27.84,32.6,27.84,27.84,86,1010,overcast clouds,2.98,100
2025-06-25 21:37:11,Hanoi,VN,27.89,32.12,27.89,27.89,82,1008,clear sky,3.56,1
2025-06-25 21:43:39,Turan,VN,27.94,32.1,27.94,27.94,81,1008,overcast clouds,2.15,100
2025-06-25 21:46:14,Can Tho,VN,26.43,26.43,26.43,26.43,94,1010,overcast clouds,3.46,100
2025-06-27 21:50:21,Ho Chi Minh City,VN,26.43,26.43,26.43,26.43,81,1010,scattered clouds,3.1,50
2025-06-27 21:44:43,Hanoi,VN,27.74,32.32,27.74,27.74,86,1005,light rain,3.9,100
2025-06-27 21:55:08,Turan,VN,27.13,30.88,27.13,27.13,88,1007,overcast clouds,3.98,100
2025-06-27 21:50:31,Can Tho,VN,25.7,26.73,25.7,25.7,92,1010,scattered clouds,2.44,29
2025-06-27 22:20:53,Ho Chi Minh City,VN,26.45,26.45,26.45,26.45,85,1009,scattered clouds,3.1,50
2025-06-27 22:20:43,Hanoi,VN,27.76,32.23,27.76,27.76,85,1005,light rain,3.9,100
2025-06-27 22:22:18,Turan,VN,27.09,30.88,27.09,27.09,89,1007,overcast clouds,3.98,100
2025-06-27 22:25:44,Can Tho,VN,25.76,26.9,25.76,25.76,96,1010,scattered clouds,2.44,29
2025-06-27 22:24:12,Hue,VN,27.43,31.99,27.43,27.43,90,1006,overcast clouds,1.76,100
2025-06-27 22:23:26,Vung Tau,VN,26.48,26.48,26.48,26.48,83,1010,overcast clouds,4.43,100
2025-06-27 22:20:53,Ho Chi Minh City,VN,26.45,26.45,26.45,26.45,85,1009,scattered clouds,3.1,50
2025-06-27 22:30:09,Hanoi,VN,27.33,31.19,27.33,27.33,86,1005,light rain,3.22,98
2025-06-27 22:22:18,Turan,VN,27.09,30.88,27.09,27.09,89,1007,overcast clouds,3.98,100
2025-06-27 22:25:44,Can Tho,VN,25.76,26.9,25.76,25.76,96,1010,scattered clouds,2.44,29
2025-06-27 22:24:12,Hue,VN,27.43,31.99,27.43,27.43,90,1006,overcast clouds,1.76,100
2025-06-27 22:23:26,Vung Tau,VN,26.48,26.48,26.48,26.48,83,1010,overcast clouds,4.43,100
2025-06-27 22:27:29,Ca Mau,VN,26.12,26.12,26.12,26.12,85,1010,broken clouds,1.48,76
2025-06-27 22:26:23,Bac Lieu,VN,27.09,30.24,27.09,27.09,83,1010,overcast clouds,3.51,97
